#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00520    0.3675   -1274.8388  0.7421 
   00521    0.4175   -1279.6248  0.7478 
   00522    0.4100   -1270.2899  0.7463 
   00523    0.3975   -1282.0186  0.7528 
   00524    0.3950   -1286.8018  0.7496 
   00525    0.4100   -1279.9148  0.7499 
   00526    0.4150   -1284.4314  0.7366 
   00527    0.3975   -1284.0637  0.7185 
   00528    0.4150   -1281.5589  0.7135 
   00529    0.4125   -1255.1244  0.7098 
   00530    0.4050   -1235.6874  0.7004 
   00531    0.4400   -1250.8577  0.7094 
   00532    0.3950   -1268.4202  0.7111 
   00533    0.4050   -1275.9132  0.7052 
   00534    0.3900   -1263.6630  0.6908 
   00535    0.4000   -1271.7161  0.6982 
   00536    0.3950   -1275.0512  0.6970 
   00537    0.3825   -1280.1064  0.6936 
   00538    0.3975   -1292.0049  0.6989 
   00539    0.3950   -1277.1187  0.6849 
   00540    0.4275   -1258.6665  0.6808 
   00541    0.4125   -1270.1317  0.6925 
   00542    0.4100   -1278.3832  0.6973 
   00543    0.4200   -1270.9610  0.7057 
   00544    0.4050   -1266.0113  0.6914 
   00545    0.3875   -1268.3091  0.6868 
   00546    0.3325   -1283.0448  0.7024 
   00547    0.3750   -1265.4332  0.7027 
   00548    0.3500   -1283.9331  0.7195 
   00549    0.3900   -1282.4034  0.7177 
   00550    0.4125   -1267.7739  0.7178 
   00551    0.4225   -1230.6975  0.7057 
   00552    0.4350   -1227.0940  0.7097 
   00553    0.3975   -1248.7968  0.7224 
   00554    0.4225   -1264.8606  0.7420 
   00555    0.3950   -1271.2530  0.7522 
   00556    0.4000   -1270.1312  0.7601 
   00557    0.3825   -1252.5826  0.7513 
   00558    0.4025   -1249.8463  0.7429 
   00559    0.3875   -1253.2705  0.7300 
   00560    0.4125   -1220.0192  0.7218 
