LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.002    0.000 _docstring.py:57(<listcomp>)
        2    0.000    0.000    0.001    0.000 unicode.py:63(<listcomp>)
       51    0.000    0.000    0.001    0.000 shape_base.py:81(atleast_2d)
       37    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
      164    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       12    0.000    0.000    0.002    0.000 __init__.py:232(define_aliases)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
      412    0.000    0.000    0.000    0.000 _compiler.py:568(isstring)
       63    0.000    0.000    0.002    0.000 core.py:3783(__init__)
      565    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       32    0.000    0.000    0.002    0.000 colors.py:399(to_rgba_array)
       91    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
      409    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      538    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
   256/18    0.000    0.000    0.002    0.000 ast.py:414(visit)
      833    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
      241    0.000    0.000    0.005    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        1    0.000    0.000    0.894    0.894 pyplot.py:1(<module>)
      171    0.000    0.000    0.003    0.000 inspect.py:3040(replace)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
       40    0.000    0.000    0.000    0.000 colors.py:1140(__init__)
      876    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      560    0.000    0.000    0.001    0.000 inspect.py:292(isclass)
     1271    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
      375    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       44    0.000    0.000    0.000    0.000 _compiler.py:386(<listcomp>)
       39    0.000    0.000    0.003    0.000 typing.py:708(Literal)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
     1141    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    45/12    0.000    0.000    0.003    0.000 typing.py:1441(_make_substitution)
      600    0.000    0.000    0.001    0.000 typing.py:159(_type_convert)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
      352    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       53    0.000    0.000    0.000    0.000 linalg.py:159(_commonType)
       51    0.000    0.000    0.001    0.000 linalg.py:215(_assert_finite)
      344    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        1    0.000    0.000    0.009    0.009 cm.py:33(_gen_cmap_registry)
     2082    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      103    0.000    0.000    0.001    0.000 <frozen codecs>:319(decode)
      158    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      111    0.000    0.000    0.006    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.001    0.001 ExifTags.py:294(<dictcomp>)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       79    0.000    0.000    0.001    0.000 core.py:3601(__init__)
       50    0.000    0.000    0.000    0.000 deprecation.py:440(<listcomp>)
       51    0.000    0.000    0.001    0.000 fromnumeric.py:2421(all)
      103    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
     1194    0.000    0.000    0.000    0.000 inspect.py:3032(parameters)
      545    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      369    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
       64    0.000    0.000    0.001    0.000 inspect.py:2039(_signature_bound_method)
     1866    0.000    0.000    0.000    0.000 __init__.py:835(<lambda>)
      185    0.000    0.000    0.000    0.000 _compiler.py:465(_get_charset_prefix)
      783    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        7    0.000    0.000    0.001    0.000 typing.py:2874(__new__)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       45    0.000    0.000    0.076    0.002 <frozen importlib._bootstrap_external>:1231(create_module)
      206    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      132    0.000    0.000    0.001    0.000 ast.py:430(visit_Constant)
       28    0.000    0.000    0.001    0.000 __init__.py:1327(getLogger)
       63    0.000    0.000    0.002    0.000 colors.py:1099(<dictcomp>)
      130    0.000    0.000    0.001    0.000 typing.py:299(_deduplicate)
       76    0.000    0.000    0.001    0.000 rcsetup.py:91(<listcomp>)
       44    0.000    0.000    0.003    0.000 _base.py:67(__set_name__)
      206    0.000    0.000    0.000    0.000 _parser.py:956(fix_flags)
       64    0.000    0.000    0.001    0.000 core.py:4349(__init__)
      448    0.000    0.000    0.000    0.000 colors.py:338(<genexpr>)
    63/11    0.000    0.000    0.005    0.000 core.py:3861(parseImpl)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
       60    0.000    0.000    0.016    0.000 __init__.py:817(_open_file_or_url)
      604    0.000    0.000    0.000    0.000 _parser.py:168(__setitem__)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:793(copy)
      103    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       39    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
      472    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
